Fecha,Fecha_scrap,Strike,Vol_call,Vol_put
2024-05-24,2024-05-03,11600.0,0.1455041852844829,
2024-05-24,2024-05-03,11650.0,0.1534365965814725,
2024-05-24,2024-05-03,11700.0,0.1612687645758305,
2024-05-24,2024-05-03,11750.0,0.1690065333491583,
2024-05-24,2024-05-03,11800.0,0.1766550256967423,
2024-05-24,2024-05-03,11850.0,0.1842187698570462,
2024-05-24,2024-05-03,11900.0,0.1917017984546509,
2024-05-24,2024-05-03,12000.0,0.2064398157809001,
2024-05-24,2024-05-03,12100.0,0.2208940420679821,
2024-05-24,2024-05-03,12200.0,0.235085190924171,
2024-05-24,2024-05-03,12300.0,0.2490307551472473,
2024-05-24,2024-05-03,12400.0,0.2627457293798986,
2024-05-24,2024-05-03,12500.0,0.2762431315832399,
2024-05-24,2024-05-03,12600.0,0.2895343884903827,
2024-05-24,2024-05-03,12700.0,0.3026296265052889,
2024-05-24,2024-05-03,12800.0,0.3155378952686824,
2024-06-21,2024-05-03,5200.0,,0.8177812223152093
2024-06-21,2024-05-03,5300.0,,0.7981837047873716
2024-06-21,2024-05-03,5400.0,,0.7789449099503624
2024-06-21,2024-05-03,5500.0,,0.7600504925469487
2024-06-21,2024-05-03,5600.0,,0.7414868773908092
2024-06-21,2024-05-03,5700.0,,0.7232412018839527
2024-06-21,2024-05-03,5800.0,,0.7053012634928394
2024-06-21,2024-05-03,5900.0,,0.6876554716531489
2024-06-21,2024-05-03,6000.0,,0.6702928036266785
2024-06-21,2024-05-03,6100.0,0.5458416847260135,0.6532027639136306
2024-06-21,2024-05-03,6200.0,0.531475113294003,0.6363753468169869
2024-06-21,2024-05-03,6300.0,0.5563304046157155,0.6198010018614649
2024-06-21,2024-05-03,6400.0,0.5414665745651491,0.6034706017482478
2024-06-21,2024-05-03,6500.0,0.5512730771550939,0.5873754125858797
2024-06-21,2024-05-03,6600.0,,0.5715070661537353
2024-06-21,2024-05-03,6700.0,0.5394756474893452,0.5558575339770014
2024-06-21,2024-05-03,6800.0,0.5390736686664587,0.5404191030097031
2024-06-21,2024-05-03,6900.0,0.5238712107164869,0.5251843527388661
2024-06-21,2024-05-03,7000.0,0.5209500003600457,0.5101461335332059
2024-06-21,2024-05-03,7100.0,0.5058362736567165,0.4952975460706029
2024-06-21,2024-05-03,7200.0,0.5011391837890594,0.4806319216850637
2024-06-21,2024-05-03,7300.0,0.4861338383633138,0.4661428034779572
2024-06-21,2024-05-03,7400.0,0.4801179541621749,0.4518239280396525
2024-06-21,2024-05-03,7500.0,0.4095977401598344,0.4376692076267832
2024-06-21,2024-05-03,7600.0,0.4329245917627344,0.4236727126330878
2024-06-21,2024-05-03,7700.0,0.450383281952373,0.4098286541906639
2024-06-21,2024-05-03,7800.0,0.4355835494819313,0.3961313667095309
2024-06-21,2024-05-03,7900.0,0.4271022643866697,0.3825752901670208
2024-06-21,2024-05-03,8000.0,0.4180827238179622,0.3691549519117192
2024-06-21,2024-05-03,8100.0,0.4033842305205297,0.355864947728886
2024-06-21,2024-05-03,8200.0,0.3938864515444169,0.3426999218616505
2024-06-21,2024-05-03,8300.0,0.3839890529216915,0.3296545456278777
2024-06-21,2024-05-03,8400.0,0.3550341962655874,0.3167234941957489
2024-06-21,2024-05-03,8500.0,0.3591164264936675,0.303901420982212
2024-06-21,2024-05-03,8600.0,0.3362422527207132,0.2911829290028452
2024-06-21,2024-05-03,8700.0,0.3262360435287055,0.2785625383319453
2024-06-21,2024-05-03,8800.0,0.3158804482586368,0.2660346485857687
2024-06-21,2024-05-03,8900.0,0.3052072639388812,0.2415340548609605
2024-06-21,2024-05-03,9000.0,0.2942414415010856,0.2376657874895527
2024-06-21,2024-05-03,9100.0,0.2944334522972174,0.2255248477013006
2024-06-21,2024-05-03,9200.0,,0.2167291656693676
2024-06-21,2024-05-03,9300.0,0.2698014748773735,0.2177939882119373
2024-06-21,2024-05-03,9400.0,0.2594125981343327,0.209387700192247
2024-06-21,2024-05-03,9500.0,0.2400491155357568,0.2039217998628033
2024-06-21,2024-05-03,9600.0,0.2313387681256756,0.198499697770918
2024-06-21,2024-05-03,9700.0,0.2253053285994014,0.1902725087906981
2024-06-21,2024-05-03,9750.0,0.2241622822162299,0.1858059641701807
2024-06-21,2024-05-03,9800.0,0.2130167720219676,0.1833719009318299
2024-06-21,2024-05-03,9850.0,0.2112982636543978,0.1804324740557207
2024-06-21,2024-05-03,9900.0,0.2047042235214692,0.1789201374539984
2024-06-21,2024-05-03,9950.0,0.2021344955546777,0.1784071584035717
2024-06-21,2024-05-03,10000.0,0.1990521158828993,0.1770323345549006
2024-06-21,2024-05-03,10050.0,0.1978941504560795,0.1691741470726311
2024-06-21,2024-05-03,10100.0,0.1892157130573876,0.1682278492942202
2024-06-21,2024-05-03,10150.0,0.1881998157048303,0.1652026397960209
2024-06-21,2024-05-03,10200.0,,0.1662381187469152
2024-06-21,2024-05-03,10250.0,0.182032803296779,0.1608107901063125
2024-06-21,2024-05-03,10300.0,0.1781211461648391,0.1570828410399124
2024-06-21,2024-05-03,10350.0,0.1728168709433981,0.1547083065111644
2024-06-21,2024-05-03,10400.0,0.1712677372313975,0.1560136517099584
2024-06-21,2024-05-03,10450.0,0.1649431644267338,0.1503137074959326
2024-06-21,2024-05-03,10500.0,,0.1496932333654085
2024-06-21,2024-05-03,10550.0,,0.1473193161984923
2024-06-21,2024-05-03,10600.0,,0.1440821666037034
2024-06-21,2024-05-03,10650.0,0.1543614955518964,0.1406985713750252
2024-06-21,2024-05-03,10700.0,,0.1384384019571575
2024-06-21,2024-05-03,10750.0,0.1493944769121675,0.1351714790484432
2024-06-21,2024-05-03,10800.0,0.1454960997298906,0.1328034689172011
2024-06-21,2024-05-03,10850.0,0.1456631376417843,0.1312148039252172
2024-06-21,2024-05-03,10900.0,0.1397108852987768,
2024-06-21,2024-05-03,10950.0,,0.1257053178447195
2024-06-21,2024-05-03,11000.0,,0.1248637743936655
2024-06-21,2024-05-03,11050.0,,0.123379424322745
2024-06-21,2024-05-03,11100.0,0.1348134491879264,0.1184229182711483
2024-06-21,2024-05-03,11150.0,0.1339419981348369,0.1160096242282303
2024-06-21,2024-05-03,11200.0,0.1362549157612054,
2024-06-21,2024-05-03,11250.0,0.1321858108096947,0.1142521654287424
2024-06-21,2024-05-03,11300.0,0.1356049950376386,
2024-06-21,2024-05-03,11350.0,0.1293265059505064,0.1017106249939206
2024-06-21,2024-05-03,11400.0,0.134573523761024,
2024-06-21,2024-05-03,11450.0,0.1288213329603049,0.0932561831451594
2024-06-21,2024-05-03,11500.0,0.133821791853933,
2024-06-21,2024-05-03,11550.0,0.1266897964275039,
2024-06-21,2024-05-03,11600.0,0.1272027979497546,
2024-06-21,2024-05-03,11650.0,0.1266167200174544,
2024-06-21,2024-05-03,11700.0,0.1287340600533892,
2024-06-21,2024-05-03,11750.0,0.1267452661735594,
2024-06-21,2024-05-03,11800.0,0.1269849818873389,
2024-06-21,2024-05-03,11850.0,0.1292894217217786,
2024-06-21,2024-05-03,11900.0,0.1274735462902432,
2024-06-21,2024-05-03,12000.0,0.1329275913606768,
2024-06-21,2024-05-03,12100.0,0.1446090954235607,
2024-06-21,2024-05-03,12200.0,0.1538993831102335,
2024-06-21,2024-05-03,12300.0,0.1630288979158194,
2024-06-21,2024-05-03,12400.0,0.1720074561372884,
2024-06-21,2024-05-03,12500.0,0.1808435800314322,
2024-06-21,2024-05-03,12600.0,0.1895447501507708,
2024-06-21,2024-05-03,12700.0,0.198117595782591,
2024-06-21,2024-05-03,12800.0,0.2065680413081235,
2024-06-21,2024-05-03,12900.0,0.2149014205054702,
2024-06-21,2024-05-03,13000.0,0.2231225671010452,
2024-06-21,2024-05-03,13100.0,0.2312358874257448,
2024-07-19,2024-05-03,9200.0,,0.216810682118424
2024-07-19,2024-05-03,9300.0,,0.2094990052060757
2024-07-19,2024-05-03,9400.0,,0.2035319470470899
